;Luontobongaajien kerho ry
; Kenttien järjestys tiedostossa on seuraava:
;id|nimi|tieteellinen_nimi|heimo|laji
230|Palokärki|Dryocopus martius|Tikat, Picidae|Lintu
231|Nuolihaukka|Falco subbuteo|Jalohaukat, Falconidae|Lintu
232|Kuningaskalastaja|Alcedo atthis|Kuningaskalastajat, Alcedinidae|Lintu
233|Valkoselkätikka|Dendrocopos leucotos|Tikat, Picidae|Lintu
234|Huuhkaja|Bubo bubo|Pöllöt, Strigidae|Lintu
235|Kaakkuri|Gavia stellata|Kuikat, Gaviidae|Lintu
236|Tikli|Carduelis carduelis|Peipot, Fringillidae|Lintu
237|Riskilä|Cepphus grylle|Ruokit, Alcidae|Lintu
238|Pikkuruokki|Alle alle|Ruokit, Alcidae|Lintu
239|Pähkinähakki|Nucifraga caryocatactes|Varikset, Corvidae|Lintu
240|Pikkuvarpunen|Passer montanus|Varpuset, Passeridae|Lintu
241|Hippiäisuunilintu|Phylloscopus proregulus|Uunilinnut, Phylloscopidae|Lintu
242|Tukkasotka|Aythya fuligula|Sorsat, Anatidae|Lintu
243|Merihanhi|Anser anser|Sorsat, Anatidae|Lintu
244|Tunturikiuru|Eremophila alpestris|Kiurut, Alaudidae|Lintu
245|Mustakurkku-uikku|Podiceps auritus|Uikut, Podicipedidae|Lintu
246|Ruokki|Alca torda|Ruokit, Alcidae|Lintu
247|Hippiäinen|Regulus regulus|Hippiäiset, Regulidae|Lintu
248|Sarvipöllö|Asio otus|Pöllöt, Strigidae|Lintu
249|Lapinpöllö|Strix nebulosa|Pöllöt, Strigidae|Lintu
250|Helmipöllö|Aegolius funereus|Pöllöt, Strigidae|Lintu
251|Pikkutiira|Sternula albifrons|Tiirat, Sternidae|Lintu
252|Peippo|Fringilla coelebs|Peipot, Fringillidae|Lintu
253|Pikkutikka|Dendrocopos minor|Tikat, Picidae|Lintu
254|Kesykyyhky|Columba livia domestica|Kyyhkyt, Columbidae|Lintu
255|Kirjosieppo|Ficedula hypoleuca|Siepot, Muscicapidae|Lintu
256|Merisirri|Calidris maritima|Kurpat, Scolopacidae|Lintu
257|Viiksitimali|Panurus biarmicus|Kekonokkatimalit, Panuridae|Lintu
